id,dateCreated,dateUpdated,slug,uri,postDate,contentId,title,field_bookReviewAuthor,field_bookReviewBookSubtitle,field_bookReview
17733,1/28/22 0:27,1/28/22 0:28,foundation-and-empire,blog/2022/01/27/foundation-and-empire,1/28/22 0:27,19966,Foundation and Empire,Isaac Asimov,Foundation Series Book 2,"<p>I liked book two a little better than book one. Book one felt a little disjointed trying to keep up with all the generational hops. Book two has that as well, but seems a little easier to follow. This was an easy book to read, and was good enough it was an easy choice to to pick up book three.</p>"
17557,12/26/21 19:42,12/26/21 19:42,the-enemy-within,blog/2021/12/26/the-enemy-within,12/26/21 19:42,19838,The Enemy Within,Kris Lundgaard,Straight Talk about the Power and Defeat of Sin,"<p>Short, helpful book for Christians to give them guidance on dealing with indwelling sin. It covers the basics with good illustrations, it is a good reminder for all of us to review from time to time. I wouldn't call this a very deep book, but that isn't a criticism. I could see it also used as a great book to think/study through as a small group or a Sunday School class. </p>"
17552,12/26/21 19:10,12/26/21 19:10,foundation,blog/2021/12/26/foundation,12/26/21 19:10,19827,Foundation,Isaac Asimov,Book #1,"<p>Over Thanksgiving, some of my family told me about the Foundation series, and I thought I would give it a try. It was an easier read than Dune was, and overall I enjoyed it. However, I will say that for all of Dune's challenges, Dune provides a richer narrative fabric than Foundation does. My only complaint for Foundation book one is that it is a little challenging to be moved from one generation to the next and still do good character development. Asimov does decent at this, but I think it could be better.</p>"
17544,12/23/21 3:24,12/23/21 3:24,the-church-as-a-culture-of-care,blog/2021/12/22/the-church-as-a-culture-of-care,12/23/21 3:24,19811,The Church as a Culture of Care,T. Dale Johnson Jr.,Finding Hope in Biblical Community,"<p>I agree with the core tenants of the sufficiency of Scripture and the church’s responsibility / ability to care for people’s souls. I even share the concern that Jay Adams and many others have outlined - that the church gave up too much ground to psychology in the first half of the twentieth century. However, I have become increasingly concerned with the biblical counseling movement’s view which claims that the secular has nothing good to offer. This book interweaves this perspective from the biblical counseling movement, and thus it was troubling to me. Clearly there are parts to the secular that are useless to the Christian, but there are also aspects of it that are very helpful as well. Although the minutiae of what part of secular is helpful and what part isn’t is a difficult conversation, the troubling part to this book is that it overwhelmingly and perhaps exclusively values the insights of the biblical counseling movement. This orients people in God’s church against any data / studies that the secular might have to offer.</p>

<p>Also, I was shocked at the brevity of the “case study” at the beginning of chapter one. It was one paragraph. Then, I was shocked again at the swift application of Johnson’s premise to the case study in paragraph two. No effort was put into probing the complexities of the human brokenness of the people in the case study.</p>

<p>I don’t want to be this negative on this book, but it is just where I am at. It has plenty of good content, but the concerns I shared above really overrode it’s good aspects. </p>
<p><br /></p>"
17541,12/20/21 2:07,12/20/21 2:07,what-god-has-to-say-about-our-bodies,blog/2021/12/19/what-god-has-to-say-about-our-bodies,12/20/21 2:05,19806,What God Has to Say about Our Bodies,Sam Allberry,How the Gospel Is Good News for Our Physical Selves,"<p>I have thought for several years that Christian authors have neglected the topic of our bodies in relation to our Christianity, and during that same time I have read some secular psychology on it. What has been written from the biblical counseling perspective (at least what I have read), has been significantly anemic. For those reasons I was eager to read Allberry's book, and I consider his work in it a good start. He touches on the major biblical passages and collates them with helpful illustrations along the way.</p>
<p>The major omission in this book as well as with much of Christian literature is the topic of psychological trauma and how it relates to our bodies. There is a large segment of the population out there that is trying to process psychological trauma in conjunction with their psychosomatic union. And, with much of Christian literature failing to address this, some Christians are underserved because they do not fit the narrative of the popular Christian literature. </p>"
17529,12/13/21 14:09,12/15/21 18:11,the-business-of-church,blog/2021/12/13/the-business-of-church,12/13/21 14:09,19790,The Business of Church,Stephen D. Lentz,The Concise Business Handbook for Pastors,"<p>I think most pastors will have been taught in Bible school/seminary the things that this book contains. However, it can serve as a concise reference book in some situations. It seems that its usefulness would be pretty limited because it is so short. Maybe it would be good as a supplemental textbook for a ministry training class.</p>"
17526,12/12/21 1:42,12/12/21 1:42,i-am-a-church-member,blog/2021/12/11/i-am-a-church-member,12/12/21 1:42,19785,I Am a Church Member,Thom S. Rainer,Discovering the Attitude that Makes the Difference,<p>The greatest strengths of this book is that it is short and simple. I would not call it even close to profound. But it is helpful. There are times when you need to pull a simple tool off the shelf. Most people will be able to read this within an hour or two. It can help reshape our perspective when we are tempted to get selfish on our perspective on church.</p>
17523,12/12/21 1:36,12/12/21 1:36,the-conviction-to-lead,blog/2021/12/11/the-conviction-to-lead,12/12/21 1:36,19780,The Conviction to Lead,R. Albert Mohler Jr.,25 Principles for Leadership That Matters,"<p>Books on leadership are in a crowded space. I admittedly skimmed this book; however, I didn't find much that would cause this book to stand out. Some of the same concepts you are going to see in many of the books out there, you will find in this book.</p>"
17520,12/11/21 23:27,12/11/21 23:27,pastor-abusers,blog/2021/12/11/pastor-abusers,12/11/21 23:27,19775,Pastor Abusers,Kent Crockett,When Sheep Attack Their Shepherd,"<p>This book was recommended to me by a man who is about 15 years ahead of me in pastoral ministry. I have never been abused during my pastoral ministry; however, I have experienced some abusive treatment that could have developed into formal abuse. Thankfully, the person/people were prevented/stopped in one way or another. I don't think I have read another book that looks honestly at how a pastor can handle abusive treatment; so, that makes me thankful for this book. I'm sure there are others, and I am just not aware of them. </p>
<p>This book is fairly comprehensive and it sites its sources for further study. I think some more attention needs to be given to this topic. In seminary, I don't recall being taught how to have healthy expectations for how a church treats you and what to do about it if you are not being treated properly. Maybe I just have not been paying attention.</p>"
17517,12/11/21 20:58,12/11/21 20:58,autopsy-of-a-deceased-church,blog/2021/12/11/autopsy-of-a-deceased-church,12/11/21 20:58,19770,Autopsy of a Deceased Church,Thom S. Rainer,12 WAYS TO KEEP YOURS ALIVE,"<p>Short, easy read. I find it to be accurate even if it is painful. It is diagnostic but sensitive. It is a must read for those who even have a hint of concern for the health of their church. Perhaps even for those who think they are a part of a healthy church so they can consider what their part is for helping it stay healthy. This book serves a narrow purpose, and it should be one diagnostic tool among many for churches.</p>"
